tube.x,tube.y,sn.x,sn.y,cm.x,cm.y,t
49,67.2,34.4,45.8,27.8,47.8,0:00:00:837
49,67.2,34.4,45.8,27.8,47.8,0:00:00:841
49,67.2,34.4,45.8,27.8,47.8,0:00:00:845
49,67.2,34.4,45.8,27.8,47.8,0:00:00:849
49,67.2,34.4,45.8,27.8,47.8,0:00:00:854
49,67.2,34.4,45.8,27.8,47.8,0:00:00:858
49,67.2,34.4,45.8,27.8,47.8,0:00:00:862
49,67.2,34.4,45.8,27.8,47.8,0:00:00:866
49,67.2,34.4,45.8,27.8,47.8,0:00:00:870
49,67.2,34.4,45.8,27.8,47.8,0:00:00:874
49,67.2,34.4,45.8,27.8,47.8,0:00:00:879
49,67.2,34.4,45.8,27.8,47.8,0:00:00:883
49,67.2,34.4,45.8,27.8,47.8,0:00:00:887
49,67.2,34.4,45.8,27.8,47.8,0:00:00:891
49,67.2,34.4,45.8,27.8,47.8,0:00:00:895
49,67.2,34.4,45.8,27.8,47.8,0:00:00:900
49,67.2,34.4,45.8,27.8,47.8,0:00:00:904
49,67.2,34.4,45.8,27.8,47.8,0:00:00:908
49,67.2,34.4,45.8,27.8,47.8,0:00:00:912
49,67.2,34.4,45.8,27.8,47.8,0:00:00:916
49,67.2,34.4,45.8,27.8,47.8,0:00:00:920
49,67.2,34.4,45.8,27.8,47.8,0:00:00:924
49,67.2,34.4,45.8,27.8,47.8,0:00:00:929
49,67.2,34.4,45.8,27.8,47.8,0:00:00:933
49,67.2,34.4,45.8,27.8,47.8,0:00:00:937
49,67.2,34.4,45.8,27.8,47.8,0:00:00:941
49,67.2,34.4,45.8,27.8,47.8,0:00:00:945
49,67.2,34.4,45.8,27.8,47.8,0:00:00:949
49,67.2,34.4,45.8,27.8,47.8,0:00:00:954
49,67.2,34.4,45.8,27.8,47.8,0:00:00:958
49,67.2,34.4,45.8,27.8,47.8,0:00:00:962
49,67.2,34.4,45.8,27.8,47.8,0:00:00:966
49,67.2,34.4,45.8,27.8,47.8,0:00:00:970
49,67.2,34.4,45.8,27.8,47.8,0:00:00:974
49,67.2,34.4,45.8,27.8,47.8,0:00:00:979
49,67.2,34.4,45.8,27.8,47.8,0:00:00:983
49,67.2,34.4,45.8,27.8,47.8,0:00:00:987
49,67.2,34.4,45.8,27.8,47.8,0:00:00:991
49,67.2,34.4,45.8,27.8,47.8,0:00:00:995
49,67.2,34.4,45.8,27.8,47.8,0:00:00:999
49,67.2,34.4,45.8,27.8,47.8,0:00:01:004
49,67.2,34.4,45.8,27.8,47.8,0:00:01:008
49,67.2,34.4,45.8,27.8,47.8,0:00:01:012
49,67.2,34.4,45.8,27.8,47.8,0:00:01:016
49,67.2,34.4,45.8,27.8,47.8,0:00:01:020
49,67.2,34.4,45.8,27.8,47.8,0:00:01:024
49,67.2,34.4,45.8,27.8,47.8,0:00:01:029
49,67.2,34.4,45.8,27.8,47.8,0:00:01:033
49,67.2,34.4,45.8,27.8,47.8,0:00:01:037
49,67.2,34.4,45.8,27.8,47.8,0:00:01:041
49,67.2,34.4,45.8,27.8,47.8,0:00:01:045
49,67.2,34.4,45.8,27.8,47.8,0:00:01:049
49,67.2,34.4,45.8,27.8,47.8,0:00:01:054
49,67.2,34.4,45.8,27.8,47.8,0:00:01:058
49,67.2,34.4,45.8,27.8,47.8,0:00:01:062
49,67.2,34.4,45.8,27.8,47.8,0:00:01:066
49,67.2,34.4,45.8,27.8,47.8,0:00:01:070
49,67.2,34.4,45.8,27.8,47.8,0:00:01:074
49,67.2,34.4,45.8,27.8,47.8,0:00:01:079
49,67.2,34.4,45.8,27.8,47.8,0:00:01:083
49,67.2,34.4,45.8,27.8,47.8,0:00:01:087
49,67.2,34.4,45.8,27.8,47.8,0:00:01:091
49,67.2,34.4,45.8,27.8,47.8,0:00:01:095
49,67.2,34.4,45.8,27.8,47.8,0:00:01:099
49,67.2,34.4,45.8,27.8,47.8,0:00:01:104
49,67.2,34.4,45.8,27.8,47.8,0:00:01:108
49,67.2,34.4,45.8,27.8,47.8,0:00:01:112
49,67.2,34.4,45.8,27.8,47.8,0:00:01:116
49,67.2,34.4,45.8,27.8,47.8,0:00:01:120
49,67.2,34.4,45.8,27.8,47.8,0:00:01:124
49,67.2,34.4,45.8,27.8,47.8,0:00:01:129
49,67.2,34.4,45.8,27.8,47.8,0:00:01:133
49,67.2,34.4,45.8,27.8,47.8,0:00:01:137
49,67.2,34.4,45.8,27.8,47.8,0:00:01:141
49,67.2,34.4,45.8,27.8,47.8,0:00:01:145
49,67.2,34.4,45.8,27.8,47.8,0:00:01:149
49,67.2,34.4,45.8,27.8,47.8,0:00:01:154
49,67.2,34.4,45.8,27.8,47.8,0:00:01:158
